Name,Weight
NRG Energy Inc.,0.026494
Robert Half International Inc.,0.026486
Pinnacle West Capital Corporation,0.026368
Molson Coors Beverage Company Class B,0.026308
Everest Re Group Ltd.,0.026268
News Corporation Class A,0.025922
Western Union Company,0.025911
A. O. Smith Corporation,0.025904
Campbell Soup Company,0.025861
Assurant Inc.,0.025493
Invesco Ltd.,0.02537
Comerica Incorporated,0.024536
Marathon Oil Corporation,0.024364
Juniper Networks Inc.,0.024238
Globe Life Inc.,0.023902
Sealed Air Corporation,0.023656
DaVita Inc.,0.023599
Kimco Realty Corporation,0.023488
Nielsen Holdings Plc,0.023046
Rollins Inc.,0.022288
Norwegian Cruise Line Holdings Ltd.,0.022057
Huntington Ingalls Industries Inc.,0.021824
Zions Bancorporation N.A.,0.021737
Federal Realty Investment Trust,0.021646
Franklin Resources Inc.,0.021641
Discovery Inc. Class C,0.021051
Organon & Co.,0.020454
IPG Photonics Corporation,0.020134
Vornado Realty Trust,0.018764
PVH Corp.,0.018508
Alaska Air Group Inc.,0.01821
People's United Financial Inc.,0.018057
APA Corp.,0.018049
Leggett & Platt Incorporated,0.017345
Cabot Oil & Gas Corporation,0.017334
Perrigo Co. Plc,0.016805
Hanesbrands Inc.,0.016756
Gap Inc.,0.015798
Unum Group,0.014755
NOV Inc.,0.014265
Fox Corporation Class B,0.013908
Ralph Lauren Corporation Class A,0.013892
Discovery Inc. Class A,0.012487
Under Armour Inc. Class A,0.009915
Under Armour Inc. Class C,0.009109
News Corporation Class B,0.007715
