Symbol,Headquarter,Date Added,Founding Year
EXPE,"Seattle, Washington",2007-10-02,1996
EXPD,"Seattle, Washington",2007-10-10,1979
EXR,"Salt Lake City, Utah",2016-01-19,1977
XOM,"Irving, Texas",1957-03-04,1999
FFIV,"Seattle, Washington",2010-12-20,1996
FB,"Menlo Park, California",2013-12-23,2004
FAST,"Winona, Minnesota",2008-09-15,1967
FRT,"Rockville, Maryland",2016-02-01,1962
FDX,"Memphis, Tennessee",1980-12-31,1971
FIS,"Jacksonville, Florida",2006-11-10,1968
FITB,"Cincinnati, Ohio",,1858
FE,"Akron, Ohio",,1997
FRC,"San Francisco, California",2019-01-02,1985
FISV,"Brookfield, Wisconsin",2001-04-02,1984
FLT,"Norcross, Georgia",2018-06-20,2000
FMC,"Philadelphia, Pennsylvania",2009-08-19,1883
F,"Dearborn, Michigan",1957-03-04,1903
FTNT,"Sunnyvale, California",2018-10-11,2000
FTV,"Everett, Washington",2016-07-01,2016
FBHS,"Deerfield, Illinois",2016-06-22,2011
FOXA,"New York City, New York",2013-07-01,2019
FOX,"New York City, New York",2015-09-18,2019
BEN,"San Mateo, California",,1947
FCX,"Phoenix, Arizona",,1912
GPS,"San Francisco, California",1986-08-31,1969
GRMN,"Schaffhausen, Switzerland",2012-12-12,1989
IT,"Stamford, Connecticut",2017-04-05,1979
GNRC,"Waukesha, Wisconsin",2021-03-22,1959
GD,"Falls Church, Virginia",1957-03-04,1899
GE,"Boston, Massachusetts",,1892
GIS,"Golden Valley, Minnesota",1969-03-31,1856
GM,"Detroit, Michigan",2013-06-06,1908
GPC,"Atlanta, Georgia",1973-12-31,1925
GILD,"Foster City, California",2004-07-01,1987
GL,"McKinney, Texas",1989-04-30,1900
GPN,"Atlanta, Georgia",2016-04-25,2000
GS,"New York City, New York",2002-07-22,1869
GWW,"Lake Forest, Illinois",1981-06-30,1927
HAL,"Houston, Texas",1957-03-04,1919
HBI,"Winston-Salem, North Carolina",2015-03-20,2000
HIG,"Hartford, Connecticut",1957-03-04,1810
HAS,"Pawtucket, Rhode Island",1984-09-30,1923
HCA,"Nashville, Tennessee",2015-01-27,1968
PEAK,"Long Beach, California",2008-03-31,1985
HSIC,"Melville, New York",2015-03-17,1932
HSY,"Hershey, Pennsylvania",1957-03-04,1894
