Symbol,EPS
APD,"{'2021': 6.69, '2020': 8.49, '2019': 7.94}"
APH,"{'2021': 1.12, '2020': 1.96, '2019': 1.88}"
APTV,"{'2021': 1.57, '2020': 6.66, '2019': 3.85}"
ARE,"{'2021': 2.74, '2020': 6.01, '2019': 3.12}"
ATO,"{'2021': 4.77, '2020': 4.89, '2019': 4.35}"
ATVI,"{'2021': 1.91, '2020': 2.82, '2019': 1.95}"
AVB,"{'2021': 4.23, '2020': 5.89, '2019': 5.63}"
AVGO,"{'2021': 10.54, '2020': 6.33, '2019': 6.43}"
AVY,"{'2021': 4.69, '2020': 6.61, '2019': 3.57}"
AWK,"{'2021': 1.87, '2020': 3.91, '2019': 3.43}"
AXP,"{'2021': 5.54, '2020': 3.77, '2019': 7.99}"
AZO,"{'2021': 59.8, '2020': 71.93, '2019': 63.43}"
BA,"{'2021': 0.09, '2020': 20.88, '2019': 1.12}"
BAC,"{'2021': 1.9, '2020': 1.87, '2019': 2.75}"
BAX,"{'2021': 1.17, '2020': 2.13, '2019': 1.93}"
BBWI,"{'2021': 3.0, '2020': 1.33, '2019': 1.79}"
BBY,"{'2021': 6.84, '2020': 5.75, '2019': 3.62}"
BDX,"{'2021': 6.0, '2020': 2.71, '2019': 3.94}"
BEN,"{'2021': 2.27, '2020': 1.59, '2019': 2.35}"
BIIB,"{'2021': 5.68, '2020': 24.8, '2019': 31.42}"
BIO,"{'2021': 62.7, '2020': 126.2, '2019': 58.27}"
BK,"{'2021': 2.1, '2020': 3.83, '2019': 4.51}"
BKNG,"{'2021': 5.42, '2020': 1.44, '2019': 111.82}"
BKR,"{'2021': 0.67, '2020': 14.73, '2019': 0.23}"
BLK,"{'2021': 16.69, '2020': 31.85, '2019': 28.43}"
BLL,"{'2021': 1.2, '2020': 1.76, '2019': 1.66}"
BMY,"{'2021': 1.36, '2020': 3.99, '2019': 2.01}"
BR,"{'2021': 4.65, '2020': 3.95, '2019': 4.06}"
BRK.B,"{'2021': 26095.0, '2020': 57359.0, '2019': 49861.0}"
BSX,"{'2021': 0.35, '2020': 0.08, '2019': 3.33}"
BWA,"{'2021': 1.3, '2020': 2.34, '2019': 3.61}"
BXP,"{'2021': 1.3, '2020': 5.54, '2019': 3.3}"
C,"{'2021': 6.47, '2020': 4.72, '2019': 8.04}"
CAG,"{'2021': 2.66, '2020': 1.72, '2019': 1.52}"
CAH,"{'2021': 2.08, '2020': 12.61, '2019': 4.53}"
CARR,"{'2021': 2.25, '2020': 0.24, '2019': 0.28}"
CAT,"{'2021': 5.33, '2020': 5.46, '2019': 10.74}"
CB,"{'2021': 10.13, '2020': 7.79, '2019': 9.71}"
CBOE,"{'2021': 2.26, '2020': 4.27, '2019': 3.34}"
CBRE,"{'2021': 2.09, '2020': 2.22, '2019': 3.77}"
CCL,"{'2021': 3.63, '2020': 13.2, '2019': 4.32}"
CDNS,"{'2021': 1.23, '2020': 2.11, '2019': 3.53}"
CDW,"{'2021': 3.56, '2020': 5.45, '2019': 4.99}"
CE,"{'2021': 7.58, '2020': 16.75, '2019': 6.84}"
CERN,"{'2021': 0.67, '2020': 2.52, '2019': 1.65}"
CF,"{'2021': 1.83, '2020': 1.47, '2019': 2.23}"
CFG,"{'2021': 2.81, '2020': 2.22, '2019': 3.81}"
CHD,"{'2021': 1.76, '2020': 3.12, '2019': 2.44}"
CHRW,"{'2021': 2.71, '2020': 3.72, '2019': 4.19}"
CHTR,"{'2021': 9.37, '2020': 15.4, '2019': 7.45}"
CI,"{'2021': 7.54, '2020': 22.96, '2019': 13.44}"
CINF,"{'2021': 8.13, '2020': 15.05, '2019': 12.1}"
CL,"{'2021': 1.63, '2020': 3.14, '2019': 2.75}"
CLX,"{'2021': 5.58, '2020': 7.36, '2019': 6.32}"
CMA,"{'2021': 4.76, '2020': 3.27, '2019': 7.87}"
CMCSA,"{'2021': 1.51, '2020': 2.28, '2019': 2.83}"
CME,"{'2021': 3.02, '2020': 5.87, '2019': 5.91}"
CMG,"{'2021': 11.04, '2020': 12.52, '2019': 12.38}"
CMI,"{'2021': 8.16, '2020': 12.01, '2019': 14.48}"
PNC,"{'2021': 6.53, '2020': 16.96, '2019': 11.39}"
PNR,"{'2021': 1.55, '2020': 2.14, '2019': 2.09}"
PNW,"{'2021': 2.22, '2020': 4.87, '2019': 4.77}"
POOL,"{'2021': 8.78, '2020': 8.97, '2019': 6.4}"
PPG,"{'2021': 3.38, '2020': 4.45, '2019': 5.22}"
PPL,"{'2021': 2.37, '2020': 1.91, '2019': 2.37}"
PRGO,"{'2021': 0.15, '2020': 1.19, '2019': 1.07}"
PRU,"{'2021': 12.39, '2020': 1.0, '2019': 10.11}"
PSA,"{'2021': 4.18, '2020': 6.29, '2019': 7.29}"
PSX,"{'2021': 0.83, '2020': 9.06, '2019': 6.77}"
PTC,"{'2021': 1.56, '2020': 1.12, '2019': 0.23}"
PVH,"{'2021': 15.96, '2020': 5.6, '2019': 5.23}"
PWR,"{'2021': 1.43, '2020': 3.07, '2019': 2.73}"
PXD,"{'2021': 1.33, '2020': 1.21, '2019': 4.59}"
PYPL,"{'2021': 1.92, '2020': 3.54, '2019': 2.07}"
QCOM,"{'2021': 5.43, '2020': 4.52, '2019': 3.59}"
QRVO,"{'2021': 6.32, '2020': 2.8, '2019': 1.29}"
RCL,"{'2021': 9.96, '2020': 20.78, '2019': 8.95}"
RE,"{'2021': 25.47, '2020': 12.78, '2019': 24.7}"
REG,"{'2021': 1.04, '2020': 0.26, '2019': 1.43}"
REGN,"{'2021': 38.07, '2020': 30.52, '2019': 18.46}"
RF,"{'2021': 1.41, '2020': 1.03, '2019': 1.5}"
RHI,"{'2021': 2.32, '2020': 2.7, '2019': 3.9}"
RJF,"{'2021': 6.92, '2020': 5.83, '2019': 7.17}"
RL,"{'2021': 1.65, '2020': 4.98, '2019': 3.96}"
RMD,"{'2021': 3.24, '2020': 4.27, '2019': 2.8}"
ROK,"{'2021': 10.91, '2020': 8.77, '2019': 5.83}"
ROL,"{'2021': 0.39, '2020': 0.53, '2019': 0.41}"
ROP,"{'2021': 5.42, '2020': 8.98, '2019': 16.82}"
CMS,"{'2021': 1.82, '2020': 2.64, '2019': 2.39}"
CNC,"{'2021': 0.28, '2020': 3.12, '2019': 3.14}"
CNP,"{'2021': 0.93, '2020': 1.79, '2019': 1.33}"
COF,"{'2021': 14.65, '2020': 5.18, '2019': 11.05}"
COG,"{'2021': 0.39, '2020': 0.5, '2019': 1.63}"
COO,"{'2021': 57.01, '2020': 4.81, '2019': 9.33}"
COP,"{'2021': 1.6, '2020': 6.4, '2019': 5.32}"
COST,"{'2021': 7.51, '2020': 9.02, '2019': 8.26}"
CPB,"{'2021': 2.34, '2020': 5.36, '2019': 0.7}"
